,track_title,track_n,line,lyric
1,!!!!!!!,1,1,My Invisalign has finally...I have taken out my Invisalign
2,!!!!!!!,1,2,"I have taken out my Invisalign, and this is the album"
3,!!!!!!!,1,3,"Hahahahahahahahahahaha, ahh"
4,bad guy,2,1,"White shirt now red, my bloody nose"
5,bad guy,2,2,"Sleepin', you're on your tippy toes"
6,bad guy,2,3,Creepin' around like no one knows
7,bad guy,2,4,Think you're so criminal
8,bad guy,2,5,Bruises on both my knees for you
9,bad guy,2,6,Don't say thank you or please
10,bad guy,2,7,I do what I want when I'm wanting to
11,bad guy,2,8,My soul? So cynical
12,bad guy,2,9,So you're a tough guy
13,bad guy,2,10,Like it really rough guy
14,bad guy,2,11,Just can't get enough guy
15,bad guy,2,12,Chest always so puffed guy
16,bad guy,2,13,I'm that bad type
17,bad guy,2,14,Make your mama sad type
18,bad guy,2,15,Make your girlfriend mad tight
19,bad guy,2,16,Might seduce your dad type
20,bad guy,2,17,I'm the bad guy
21,bad guy,2,18,Duh
22,bad guy,2,19,I'm the bad guy
23,bad guy,2,20,I like it when you take control
24,bad guy,2,21,Even if you know that you don't
25,bad guy,2,22,"Own me, I'll let you play the role"
26,bad guy,2,23,I'll be your animal
27,bad guy,2,24,My mommy likes to sing along with me
28,bad guy,2,25,But she won't sing this song
29,bad guy,2,26,If she reads all the lyrics
30,bad guy,2,27,She'll pity the men I know
31,bad guy,2,28,So you're a tough guy
32,bad guy,2,29,Like it really rough guy
33,bad guy,2,30,Just can't get enough guy
34,bad guy,2,31,Chest always so puffed guy
35,bad guy,2,32,I'm that bad type
36,bad guy,2,33,Make your mama sad type
37,bad guy,2,34,Make your girlfriend mad tight
38,bad guy,2,35,Might seduce your dad type
39,bad guy,2,36,I'm the bad guy
40,bad guy,2,37,Duh
41,bad guy,2,38,"I'm the bad guy, duh"
42,bad guy,2,39,"I'm only good at bein' bad, bad"
43,bad guy,2,40,I like when you get mad
44,bad guy,2,41,I guess I'm pretty glad that you're alone
45,bad guy,2,42,You said she's scared of me?
46,bad guy,2,43,"I mean, I don't see what she sees"
47,bad guy,2,44,But maybe it's 'cause I'm wearing your cologne
48,bad guy,2,45,I'm a bad guy
49,bad guy,2,46,"I'm, I'm a bad guy"
50,bad guy,2,47,"Bad guy, bad guy"
51,bad guy,2,48,I'm a bad
52,xanny,3,1,What is it about them?
53,xanny,3,2,I must be missing something
54,xanny,3,3,They just keep doing nothing
55,xanny,3,4,Too intoxicated to be scared
56,xanny,3,5,Better off without them
57,xanny,3,6,They're nothing but unstable
58,xanny,3,7,Bring ashtrays to the table
59,xanny,3,8,And that's about the only thing they share
60,xanny,3,9,I'm in their secondhand smoke
61,xanny,3,10,Still just drinking canned Coke
62,xanny,3,11,I don't need a Xanny to feel better
63,xanny,3,12,On designated drives home
64,xanny,3,13,Only one who's not stoned
65,xanny,3,14,"Don't give me a Xanny, now or ever"
66,xanny,3,15,Can you check your Uber rating? Oh my god
67,xanny,3,16,"(And it's like, wait, like, when?)"
68,xanny,3,17,Wakin' up at sundown (Ooh)
69,xanny,3,18,They're late to every party (Ooh)
70,xanny,3,19,Nobody's ever sorry (Ooh)
71,xanny,3,20,Too inebriated now to dance
72,xanny,3,21,Morning as they come down (Come down)
73,xanny,3,22,Their pretty heads are hurting (Hurting)
